WL,R,RA,Hits,TB,SO,HomeAway,DayNight 
0,3,4,7,12,10,0,0
1,12,8,13,21,12,0,0
0,3,5,9,13,11,0,0
0,4,7,5,5,5,0,1
1,6,0,10,14,15,0,0
1,10,4,10,21,15,0,0
0,4,8,6,8,7,0,1
1,6,0,10,17,11,1,1
0,3,4,5,10,14,1,1
1,4,3,5,9,9,1,0
0,0,2,3,3,12,1,0
1,8,0,12,18,7,1,0
0,2,4,8,11,14,1,1
0,4,7,9,11,11,0,1
1,3,2,8,12,3,0,1
1,5,1,10,16,8,0,1
0,4,11,9,15,8,0,1
1,8,5,11,25,10,0,0
1,9,7,16,21,14,1,0
1,2,1,9,10,6,1,0
1,8,4,11,19,12,1,1
0,2,5,8,8,9,1,0
1,3,1,4,6,13,1,1
1,11,0,15,23,9,1,0
0,3,5,8,10,6,1,0
1,7,3,4,8,7,1,1
0,0,5,4,4,12,1,1
1,9,0,12,17,14,0,0
0,0,1,2,2,5,0,1
1,3,0,7,12,13,0,0
1,9,1,12,20,8,0,0
1,9,3,10,15,6,0,1
1,9,3,11,18,11,1,0
1,13,8,14,27,6,1,0
1,4,2,7,13,13,1,1
0,2,6,5,6,7,1,1
1,3,1,6,12,8,1,0
0,1,5,4,8,9,1,0
1,4,3,11,15,6,1,1
1,16,4,18,34,9,0,0
0,4,5,6,14,4,0,0
1,2,1,5,7,13,0,1
0,1,2,6,8,15,0,0
0,0,7,9,23,12,0,0
0,4,5,6,15,9,0,1
1,5,1,6,12,7,1,0
1,8,3,11,15,8,1,0
0,0,4,6,6,14,1,1
1,5,1,12,18,16,1,0
1,7,4,8,16,6,1,1
1,3,1,5,11,11,1,1
1,3,1,8,13,12,1,1
1,8,6,6,11,10,0,1
0,1,3,7,9,8,0,0
0,5,6,10,11,5,0,0
1,4,1,6,18,12,1,0
1,9,8,9,18,7,1,0
0,3,4,8,11,11,1,1
1,3,0,6,9,14,1,1
1,6,1,11,16,12,1,0
0,2,6,4,6,11,1,0
1,5,2,7,16,11,1,0
1,5,4,8,13,15,0,0
1,15,2,13,21,10,0,1
1,4,1,11,14,12,0,1
0,2,5,5,8,12,1,0
1,3,0,9,12,8,1,0
1,8,7,12,18,12,1,1
0,2,10,4,5,7,0,0
0,1,2,7,9,10,0,0
0,3,7,8,12,8,0,0
0,2,8,3,7,9,0,1
0,3,6,6,9,9,0,0
1,4,3,9,16,11,0,1
0,3,9,6,10,11,1,0
0,2,3,6,6,9,1,1
1,7,5,8,12,9,1,1
1,7,6,9,10,2,1,0
1,13,3,12,30,9,1,0
1,8,5,15,24,12,1,1
1,8,2,11,21,13,0,0
0,5,11,8,14,9,0,1
0,5,6,13,18,9,0,1
0,5,8,8,16,11,0,0
1,4,1,3,4,12,0,0
1,6,1,15,26,9,0,1
1,12,1,15,26,6,0,0
1,8,3,13,21,14,0,1
1,7,5,8,18,14,0,1
0,1,7,3,6,12,1,0
1,10,1,12,30,8,1,0
1,4,0,7,14,13,1,1
0,2,3,4,8,6,1,1
1,5,3,4,13,6,1,0
1,9,5,9,19,13,1,0
0,2,7,10,15,9,1,0
0,1,7,5,9,5,0,0
0,1,6,6,7,13,0,0
1,3,1,7,8,9,0,0
0,3,4,5,8,5,0,0
1,5,3,6,13,11,0,0
0,2,3,5,6,9,0,0
0,0,5,5,7,6,0,1
1,6,4,11,14,12,1,0
0,11,12,11,28,8,1,0
1,2,1,4,7,10,1,1
1,7,1,5,11,14,1,0
0,1,9,4,7,3,1,0
0,2,3,6,10,8,1,0
1,8,6,14,22,12,0,1
1,4,0,8,17,17,0,1
1,9,3,10,24,16,0,0
1,11,1,12,26,10,0,0
0,3,4,6,13,6,0,0
0,0,1,6,6,12,0,1
1,9,8,8,22,14,1,0
0,5,7,13,21,13,1,0
0,3,5,10,14,16,1,1
1,5,2,10,13,11,1,0
1,9,0,11,19,6,1,0
1,3,2,9,10,9,1,0
0,4,5,8,12,8,1,1
1,7,5,11,18,14,0,0
0,4,8,9,16,6,0,1
0,0,9,7,8,8,0,1
0,1,2,6,6,6,0,0
1,5,2,18,23,9,0,0
0,1,3,6,6,10,0,0
1,10,7,12,26,8,0,1
1,17,13,15,26,12,1,0
0,0,7,4,5,10,1,0
1,13,1,11,27,15,1,1
1,4,2,6,14,9,1,0
1,6,3,11,20,10,1,0
0,2,7,6,6,6,0,0
1,10,7,15,23,9,0,0
0,0,6,7,7,11,0,1
1,6,3,15,18,5,0,0
0,1,5,8,10,4,0,0
0,1,3,7,11,8,0,1
1,4,3,6,9,11,1,0
0,8,9,11,21,15,1,0
1,2,1,5,9,13,1,1
1,9,3,13,22,12,1,0
0,2,3,9,15,7,1,0
0,3,9,9,10,12,1,1
1,8,0,12,19,14,0,0
0,1,2,3,6,9,0,0
1,7,2,10,16,7,0,1
0,3,4,5,7,12,0,0
0,3,5,12,17,4,0,1
1,7,2,11,23,6,0,1
0,3,5,10,11,9,0,0
1,1,0,5,8,16,0,0
0,0,6,3,5,10,0,0
1,5,2,13,14,8,0,1
1,8,7,11,21,6,0,1
1,7,1,10,25,4,1,0
1,6,1,7,13,7,1,0
1,8,1,13,20,11,1,0
1,5,4,8,14,7,1,0
0,2,5,8,12,13,1,1